date,portfolio_value,ticker,action,shares,price,fee
2020-02-04,1000000.0,NESTLEIND.NS,BUY,644.0618667337565,1554.1985198974608,1501.4999999999998
2020-02-05,993198.9624870523,NESTLEIND.NS,SELL,1.6180777456004307,1544.4242446289063,3.748497749999683
2020-03-23,784658.454354345,TCS.NS,BUY,515.3181176415295,1524.1907589111327,1178.164669213049
2020-05-29,1203527.5085185475,HDFCBANK.NS,BUY,1317.398712382672,914.4771622314452,1807.0965540405987
2020-07-17,1483897.022019948,NESTLEIND.NS,BUY,266.9581849441038,1633.360121948242,654.058280273074
2020-09-03,1498477.4631591896,HDFCBANK.NS,BUY,62.87262979399725,1086.7254102783202,102.4879266122379
2020-10-08,1819888.7442968762,HDFCBANK.NS,BUY,210.39792230038415,1145.2466416015625,361.43627087169216
2020-10-28,1825770.921615866,NESTLEIND.NS,BUY,216.75851522668063,1622.8563425292966,527.6518968492776
2020-10-29,1783437.7555199657,NESTLEIND.NS,SELL,18.70773252532672,1608.7858439941406,45.14510288996157
2020-11-02,1838719.3502510996,NESTLEIND.NS,BUY,18.026691572386426,1635.3546682128904,44.220051323004164
2020-11-24,2295257.306830736,NESTLEIND.NS,BUY,234.73019729178804,1689.1165062255857,594.7299761327212
2020-11-25,2209929.9577643285,NESTLEIND.NS,SELL,38.80082073636959,1670.7320145263673,97.2386600912268
2020-12-11,2329383.027643984,NESTLEIND.NS,BUY,4.74803344246061,1758.2478243408202,12.522329205155733
2020-12-15,2305146.1829268876,NESTLEIND.NS,BUY,1.4392466770721057,1738.0672635498045,3.7522613003877963
2021-03-31,2531930.462163598,NESTLEIND.NS,BUY,217.6605999210717,1640.1562178955076,535.4960795271182
2021-04-09,2552892.4366193144,NESTLEIND.NS,SELL,25.040959710148854,1677.616846435547,63.01370379098927
2021-05-17,2394017.5101387426,NESTLEIND.NS,SELL,56.180400411232085,1633.5831654052733,137.66303450627436
2021-05-20,2412540.52005963,NESTLEIND.NS,SELL,9.789120311677607,1657.303927734375,24.335321312411473
2021-06-02,2612890.661732553,HDFCBANK.NS,BUY,219.0526048366487,1445.251669189453,474.87921417069623
2021-06-17,2692795.2681445684,NESTLEIND.NS,BUY,99.39232113933394,1734.951846557617,258.66133664150266
2021-06-18,2648483.2306819907,NESTLEIND.NS,BUY,8.020748276797121,1697.6377142333984,20.424487156595
2021-07-22,2618584.7114109797,NESTLEIND.NS,SELL,45.44291850246782,1725.325071899414,117.60570994888425
2021-07-23,2628035.8836999186,NESTLEIND.NS,SELL,7.0364302125296945,1739.6254544677734,18.36112965945411
2021-07-26,2600204.225016231,NESTLEIND.NS,SELL,12.468569227620037,1735.5410419921875,32.45957044418311
2021-07-27,2620154.742988393,NESTLEIND.NS,BUY,1.1608062533571228,1751.000471923828,3.048858446160679
2021-07-28,2558824.7029821966,NESTLEIND.NS,SELL,18.53944160686001,1727.985738647461,48.05383604871219
2021-08-18,3025499.02552307,NESTLEIND.NS,BUY,187.62322188567055,1816.7993593749998,511.3106239886396
2021-08-20,3132829.4577664277,NESTLEIND.NS,BUY,0.904571473178521,1880.230525024414,2.5512043439048373
2021-08-23,3259299.6936920127,NESTLEIND.NS,BUY,28.347139674775917,1923.4431280517576,81.7861665110566
2021-08-24,3268073.880108447,NESTLEIND.NS,BUY,25.305880526570718,1900.2708089599607,72.132039089506
2021-08-25,3308825.4706554078,NESTLEIND.NS,BUY,10.085992000530268,1912.7599702148436,28.938122637782143
2021-08-26,3334131.9479329027,HDFCBANK.NS,BUY,414.4641479788668,1500.5337026367185,932.8761338653526
2021-11-02,3163308.387372939,TCS.NS,BUY,460.2370558653182,3245.81508227539,2240.766566024507
2021-11-16,3214182.268231487,NESTLEIND.NS,SELL,20.955452975282697,1877.052099243164,59.00171549676869
2022-01-03,3426217.5196150877,NESTLEIND.NS,BUY,92.84670030759253,1901.6696673583983,264.84563053389655
2022-01-05,3606811.1054618107,NESTLEIND.NS,BUY,70.5096984071713,1926.5832279052731,203.76420353387306
2022-01-06,3451933.0744882813,NESTLEIND.NS,SELL,54.16210543732859,1894.9381259765626,153.95075786453464
2022-01-21,3324228.64392226,HDFCBANK.NS,BUY,41.77929262345879,1468.492416015625,92.02886154607016
